HEIGHT,PCT_TREE,NDVI_DELTA,NPP,PRECIP_ANN,TEMP_MEAN,TEMP_SDEV,PRECIP_CV,CTI,ELEV,LC_TYPE,X,Y,NCBD_30M
0,2,0.02317,1003,946,-52,7165,17,222,4013,7,-106.44281886585,39.1079423015444,14
19,13,0.03475,983,670,-37,7295,12,220,3283,7,-109.668723763563,43.851652392197,0
18,0,0.05325,1247,679,-36,7693,15,260,3041,10,-110.455421769542,43.5411355657761,47
16,3,0.07925,1414,654,-35,7350,12,247,3328,10,-109.753642456195,43.7753449899935,0
18,10,-0.01201,932,656,-34,7355,12,194,3197,7,-109.727694404762,43.8799957701467,25
0,4,0.07757,1033,649,-33,7190,15,155,3287,7,-109.254263163375,43.8857298144288,0
0,0,-0.00056,20611,584,-32,7515,12,243,3407,10,-109.646898060201,43.1184924763002,0
20,2,-0.01783,1242,679,-31,7590,12,152,2975,10,-110.030136394068,44.1435018701912,32
16,3,0.02748,1280,697,-31,7320,14,269,3269,10,-109.58148258029,44.36027544259,100
10,5,-0.00786,2098,829,-31,7549,16,157,3661,10,-105.786689221553,39.7218027522935,40
19,1,0.03296,11972,657,-31,7453,12,194,3178,7,-109.85805993443,44.0212075770171,0
0,2,-0.02148,809,676,-30,7515,13,229,3146,7,-109.922936470689,44.2257509778792,89
16,3,0.03888,1291,781,-29,7835,14,322,2871,10,-110.528190579864,45.0980215259712,58
0,0,0.03436,1263,773,-28,8020,15,307,2868,10,-110.894175144163,44.944364357375,0
17,2,0.01288,1391,573,-28,7562,12,215,3169,7,-109.813580889205,43.3258662422153,88
16,3,0.03824,2445,976,-28,7124,21,220,3681,10,-107.031151355988,37.9473585497669,82
0,0,0.04776,702,537,-27,7689,16,295,2968,10,-113.616752223709,44.518127538344,4
20,2,-0.00801,1140,621,-27,7514,12,208,3050,8,-109.888427417012,43.8431290986052,14
0,5,0.0127,1189,672,-27,7518,13,246,2943,10,-109.85024758154,44.3134867412275,54
25,2,0.00216,1239,727,-27,7618,16,350,3606,10,-106.607429919031,39.2235335004235,0
15,2,0.02943,1580,732,-27,7608,16,148,3620,10,-106.559900937389,39.2023318202957,0
23,7,-0.03368,1939,790,-27,7599,16,480,3583,10,-105.834431403991,39.617036153897,126
0,1,0.08891,63676,741,-27,5449,46,154,3803,10,-118.352463374604,37.8068946756456,8
24,2,0.0048,1402,965,-26,7033,21,264,3723,7,-107.616891883659,37.9422536297548,29
0,1,0.0159,1054,1006,-25,6898,22,257,3743,10,-107.524704208908,37.7078194038759,22
18,2,0.07791,1265,771,-25,7301,18,272,2978,10,-109.433985143367,45.1301944349338,85
21,10,0.01305,1836,780,-25,7652,15,411,2870,7,-110.141120573327,45.2090354746765,78
17,3,0.06446,2089,788,-25,7872,15,233,2805,1,-111.096767627922,45.2707716710331,0
21,20,-0.00512,2112,667,-25,7550,13,164,2889,10,-109.8377251221,44.3809809571503,95
0,3,0.03893,502,826,-24,7272,21,178,2917,10,-110.325493942274,46.055039150048,58
0,2,-0.00117,1010,978,-24,6927,22,142,3670,7,-107.790784977184,37.8371231303313,153
0,2,0.0654,1071,604,-24,7267,20,178,2837,10,-113.205808388129,46.0460156327114,128
19,6,0.00024,3039,706,-24,7698,17,188,3603,10,-106.292298171736,38.8443950857566,10
22,20,0.05098,3324,639,-24,7921,17,296,2889,10,-110.586408144589,43.5035075054241,75
0,1,0.05275,45510,604,-24,7651,24,237,2934,10,-114.600015422086,43.8655966630539,47
24,41,-0.02692,1727,637,-22,7550,13,208,2927,1,-109.851514436981,44.2229123896775,140
14,3,-0.02228,1833,684,-22,7653,16,248,3577,7,-106.224026733182,39.2358383744601,0
14,2,0.1208,1321,657,-21,7357,25,207,3173,7,-107.048546676904,44.2119095497777,44
19,2,0.1614,1393,600,-21,7928,15,247,2929,10,-110.500232965297,43.3822891631955,52
24,48,0.0682,3220,579,-21,7541,13,292,2991,1,-109.861337867545,43.7763051226958,14
26,12,-0.03041,2463,921,-20,7256,21,287,3648,10,-106.768904706948,37.9024722791879,129
23,53,0.01169,4327,729,-20,7629,17,432,3374,1,-105.781341493168,39.497787415965,137
0,4,0.06285,1199,712,-19,7445,16,172,3495,10,-110.410864783699,40.8240372838174,96
0,2,0.00655,2010,635,-19,7470,21,192,2573,10,-114.940497559567,44.9631647712984,84
15,4,0.01524,2255,743,-19,8174,16,400,2620,10,-110.910983289116,44.9764564231748,145
21,38,-0.00592,2509,913,-19,7277,21,241,3687,1,-106.821871240916,37.9066349011189,16
17,5,0.04156,3466,874,-19,7402,21,333,3437,10,-106.837784641544,37.9974244428579,121
0,2,0.02181,1175,484,-18,7813,19,181,2772,10,-113.670400301206,44.5895609628599,4
19,7,-0.00523,1468,484,-18,7818,14,471,3046,1,-109.653451945877,43.0058227912713,67
0,0,5E-05,1710,813,-18,6987,27,275,3722,10,-105.461940370804,37.5995569527522,138
0,22,0.04344,1740,528,-18,7543,24,213,2780,10,-113.039464117328,45.4506244806593,52
0,5,0.02235,1916,557,-18,7328,19,236,3103,1,-109.15398084856,43.7343972338457,106
23,7,0.02252,2548,850,-18,6728,31,139,3735,10,-105.152254564064,37.2924146075201,93
18,34,0.07452,3503,691,-18,8210,14,235,2666,1,-110.524897850846,44.7877185014156,151
25,62,-0.01498,3796,582,-18,7719,13,186,2922,1,-110.054411926032,43.8051618066722,129
17,12,-0.045,1491,665,-17,7918,13,253,2691,10,-110.099731425105,44.6618653469726,136
0,13,0.10595,1775,643,-17,7416,26,466,3116,10,-107.089034673126,44.3516068021757,93
20,16,0.03739,2824,763,-17,7793,16,306,2614,3,-110.45045302596,45.3489897271688,105
22,30,0.01588,3004,581,-17,7728,13,267,2862,1,-110.017659836875,43.9019012770444,107
19,33,0.04482,3155,723,-17,7968,15,238,2745,10,-110.336391765046,45.0676256180763,126
24,10,0.00078,3510,871,-17,7351,21,221,3616,10,-106.624112240563,37.9200986517495,151
24,67,0.09778,3816,548,-17,7478,15,271,3039,1,-109.693396571327,43.7485408359622,149
18,17,0.00709,2852,534,-16,7875,19,215,2729,1,-114.1153285767,43.8482505717088,68
22,48,0.00874,3165,562,-16,7801,24,310,2820,10,-114.657798663004,44.0315600940104,86
24,54,-0.00931,3888,574,-16,7757,13,287,2816,1,-110.058839745408,43.8207692360452,125
19,56,0.0071,4143,546,-16,7814,22,211,2752,1,-114.540281801645,44.1000720046761,85
16,7,0.05012,1434,714,-15,7491,18,217,3344,10,-110.636873588562,40.8498072968084,26
15,5,-0.07649,1651,643,-15,8045,14,514,2638,10,-110.160642077046,44.5778700483257,71
22,14,0.01069,2433,629,-15,7897,19,196,3413,1,-106.221956937912,38.7669205838103,119
0,22,0.08049,2705,513,-15,7584,25,307,2786,10,-112.993962989817,45.4531649530233,62
0,3,0.0683,2716,637,-15,8218,16,296,2742,10,-111.845306535993,44.8544122952702,9
19,26,0.01582,3832,635,-15,7819,15,272,3381,1,-106.683952927415,39.2202151929516,77
16,7,0.12914,3016,643,-14,8222,18,276,2658,10,-110.489824222821,43.9867415843123,57
20,58,0.04384,3765,513,-14,7802,18,260,2696,1,-114.415811798255,44.4231603167004,98
21,59,0.08377,3924,655,-14,8442,16,340,2564,1,-110.609578177999,44.5702739948415,141
0,2,0.01072,685,787,-13,6918,35,214,2459,7,-117.271025054199,45.146320136261,45
11,11,0.0322,1180,561,-13,7308,20,130,2974,1,-109.281432168002,43.9995994917951,29
0,8,0.18785,1726,553,-13,8025,15,348,2764,10,-110.396549340513,43.3607729209327,55
0,9,-0.01262,1776,634,-13,7868,15,246,3304,10,-107.137946081351,39.1384218292497,124
16,8,-0.00274,1788,459,-13,7917,14,525,3061,10,-109.407589020751,42.867829919927,127
22,34,0.0211,2535,756,-13,7633,16,290,3433,1,-105.778895625673,39.8150169481534,107
16,34,0.00352,3219,691,-13,8534,20,441,2571,8,-110.812191399321,44.3204811165353,75
0,24,0.04249,3463,577,-13,7773,24,229,2584,1,-114.9417935408,44.3854253554157,66
24,46,0.01953,3694,845,-13,7483,21,361,3499,10,-107.011155101862,37.9191145437631,139
21,48,0.06133,4273,725,-13,8245,16,276,2633,1,-110.925807501633,45.052846751027,92
21,57,0.07804,4597,663,-13,8427,16,266,2533,1,-110.648144920489,44.6232449554855,142
22,49,0.03559,5060,669,-13,7834,20,233,3378,1,-106.26066779482,38.358777468491,137
14,4,0.09016,1383,739,-12,7235,32,266,2550,10,-110.594838313775,46.9818109653918,35
18,8,-0.00803,1705,634,-12,7903,14,237,2590,12,-109.980063332762,44.5915489891455,39
24,40,0.06689,2857,709,-12,7333,16,163,3369,1,-105.628272758281,40.4577594464868,86
20,44,0.03433,3448,527,-12,7854,21,214,2644,1,-114.622418049133,44.3518762971842,71
22,44,0.04286,3451,666,-12,7800,21,195,3462,1,-106.202706886572,38.2977876029714,116
0,6,-0.00143,3710,728,-12,7022,35,256,2069,1,-120.33199665097,48.7429506473482,16
24,52,0.08451,3871,531,-12,7514,16,205,2929,1,-109.707618695475,43.8047060626861,144
15,3,0.03343,2159,660,-11,7626,13,448,3358,7,-107.315376677048,39.9509018099976,106
14,6,0.02239,2505,707,-11,8393,16,499,2595,10,-110.921034716378,44.9590863565456,145
13,17,0.0759,2624,697,-11,8630,21,381,2501,1,-110.958259109375,44.3013155200553,49
17,8,0.01102,2667,733,-11,7424,15,364,3351,1,-105.682897015818,40.1404058729065,0
18,9,0.00728,2766,689,-11,7441,28,330,3471,10,-105.641099757001,38.0485313118141,123
16,33,0.03192,3786,685,-11,8498,21,263,2570,1,-110.83921186241,44.0521592950058,83
17,42,0.02552,3797,670,-11,8551,19,484,2513,1,-110.694143516525,44.3267784998981,159
